label,clients,repeat,rate,principal,constrained,completed,failed,qps,p50_ms,p95_ms,p99_ms,short_p99_ms,peak_rss,peak_container_sampled,container_lifetime_peak,cpu_seconds,spill_bytes,spill_active_after
confirm-1-baseline-tight,32,0,0.0,user,True,96,32,26.930494563313168,904.5676640234888,3161.179629038088,3353.8507899502292,292.00961196329445,1596223488,1584693248,1587838976,20.37435,0.0,0.0
confirm-1-groups-normal,1,0,0.0,user,False,128,0,20.834074035039166,39.067923091351986,97.37007296644151,99.40329403616488,6.851607002317905,374542336,355217408,364249088,23.00739,0.0,0.0
confirm-1-groups-normal,4,0,0.0,user,False,128,0,30.568661009927997,137.9380599828437,245.3006609575823,262.4658429995179,23.795042070560157,760602624,745459712,766779392,22.898731,0.0,0.0
confirm-1-groups-normal,8,0,0.0,user,False,128,0,32.09269843566668,284.47584400419146,431.4858689904213,465.2576129883528,32.640262972563505,1419051008,1406332928,1437138944,22.897608,0.0,0.0
confirm-1-groups-normal,16,0,0.0,user,False,128,0,32.382165550048796,430.2052789134905,1151.5806639799848,1480.8698770357296,60.433299047872424,2431209472,2421030912,2421030912,22.970716,0.0,0.0
confirm-1-groups-normal,32,0,0.0,user,False,128,0,32.348342806957405,666.7098089819774,3815.8025349257514,3946.3400839595124,349.1777559975162,3885039616,3879104512,3978276864,23.105494,0.0,0.0
confirm-1-groups-tight,1,0,0.0,user,True,128,0,19.102891749970716,39.056701003573835,107.00761002954096,109.88335101865232,6.72152207698673,233000960,213397504,217853952,21.590852,0.0,0.0
confirm-1-groups-tight,4,0,0.0,user,True,128,0,28.73829310152552,97.25500701460987,263.1129689980298,286.83840995654464,22.32959505636245,458891264,443076608,463400960,23.38361,0.0,0.0
confirm-1-groups-tight,8,0,0.0,user,True,128,0,30.594005785392305,201.5012769261375,514.0978810377419,533.8582149706781,33.945707022212446,645824512,630984704,648626176,23.598588,0.0,0.0
confirm-1-groups-tight,16,0,0.0,user,True,128,0,30.891618244667367,384.323013946414,1263.5942989727482,1431.9811220047995,62.68645590171218,1003184128,989880320,1010286592,23.820845,0.0,0.0
confirm-1-groups-tight,32,0,0.0,user,True,128,0,30.713402072842992,715.9597110003233,2796.1544670397416,3871.517014107667,270.9730309434235,1512505344,1507381248,1526759424,23.910102,0.0,0.0
confirm-2-baseline-normal,1,0,0.0,user,False,128,0,20.639890418064827,39.51004799455404,99.51080300379544,100.54245009087026,6.8339729914441705,382226432,364482560,364482560,23.301194,0.0,0.0
confirm-2-baseline-normal,4,0,0.0,user,False,128,0,30.037852930293365,142.6446249242872,254.84459102153778,278.44084496609867,21.487687015905976,776794112,762032128,764129280,23.115619,0.0,0.0
confirm-2-baseline-normal,8,0,0.0,user,False,128,0,31.8140814119086,263.7609320227057,480.52459792234004,529.8785940976813,34.540657070465386,1388376064,1375641600,1464389632,23.227784,0.0,0.0
confirm-2-baseline-normal,16,0,0.0,user,False,128,0,32.123618711438546,457.17133895959705,1126.4324110234156,1302.915567997843,50.01933500170708,2196176896,2186129408,2261528576,23.247374,0.0,0.0
confirm-2-baseline-normal,32,0,0.0,user,False,88,40,30.179738609519315,576.6377699328586,2849.4742249604315,2898.4263609163463,155.5776740424335,4076535808,4071055360,4072366080,17.057556,0.0,0.0
confirm-2-baseline-tight,1,0,0.0,user,True,96,32,16.85998336484881,59.47528104297817,108.70896000415087,111.83198797516525,6.576651008799672,243769344,223776768,231362560,18.304953,0.0,0.0
confirm-2-baseline-tight,4,0,0.0,user,True,96,32,25.24817162370477,209.50073399581015,250.35525008570403,268.67136801593006,16.647911979816854,478429184,461512704,470372352,20.044338,0.0,0.0
confirm-2-baseline-tight,8,0,0.0,user,True,96,32,26.583314043236157,377.5782739976421,499.5345609495416,563.7649480486289,30.770063982345164,663633920,648470528,666476544,20.380922,0.0,0.0
confirm-2-baseline-tight,16,0,0.0,user,True,96,32,27.00188579303759,656.4316130243242,1096.1643389891833,1504.3467059731483,57.36703099682927,1010114560,996540416,1007017984,20.448754,0.0,0.0
confirm-2-baseline-tight,32,0,0.0,user,True,96,32,27.053168857781273,774.9579870142043,3420.436048065312,3497.0950979040936,327.9353549005464,1592795136,1580990464,1619410944,20.365309,0.0,0.0
confirm-2-groups-normal,1,0,0.0,user,False,128,0,20.868968397901515,38.46960689406842,98.17719203419983,99.31161801796407,6.7761840764433146,389365760,371630080,377135104,23.000204,0.0,0.0
